scoreSAC,scorePPO
-500,-500
-500,-500
-212,-376
-230,-500
-176,-500
-161,-488
-177,-500
-219,-500
-500,-472
-247,-500
-168,-324
-260,-340
-214,-341
-118,-500
-107,-365
-162,-454
-112,-169
-109,-296
-93,-267
-120,-249
-98,-253
-102,-210
-112,-334
-120,-207
-121,-247
-79,-207
-91,-242
-99,-206
-129,-262
-94,-164
-103,-135
-120,-259
-106,-189
-112,-205
-92,-179
-82,-114
-106,-219
-107,-259
-96,-176
-84,-180
-81,-218
-89,-186
-103,-132
-81,-129
-103,-120
-105,-138
-76,-119
-75,-142
-145,-127
-83,-127
-424,-146
-93,-236
-95,-168
-82,-139
-109,-143
-106,-198
-170,-177
-86,-139
-103,-141
-94,-158
-77,-190
-102,-160
-92,-111
-130,-129
-83,-113
-73,-116
-109,-137
-106,-127
-103,-213
-90,-166
-95,-112
-99,-147
-80,-174
-118,-156
-100,-112
-78,-108
-97,-115
-82,-100
-113,-155
-98,-139
-106,-155
-84,-148
-113,-95
-89,-124
-84,-107
-101,-144
-99,-473
-206,-130
-78,-138
-79,-105
-101,-101
-104,-103
-92,-136
-81,-122
-77,-155
-104,-106
-81,-128
-105,-109
-81,-145
-95,-100
-91,-104
-84,-120
-90,-99
-78,-146
-96,-101
-139,-143
-97,-117
-74,-113
-87,-122
-100,-114
-84,-100
-80,-133
-98,-125
-108,-127
-96,-92
-84,-106
-90,-150
-146,-129
-95,-122
-95,-104
-90,-141
-96,-500
-78,-118
-127,-118
-82,-182
-81,-119
-102,-125
-88,-113
-113,-156
-95,-148
-92,-103
-77,-109
-107,-227
-84,-140
-106,-117
-93,-97
-85,-99
-91,-135
-63,-117
-96,-114
-79,-123
-105,-123
-83,-137
-97,-157
-77,-103
-83,-117
-85,-130
-92,-111
-79,-199
-116,-92
-79,-111
-84,-156
-82,-136
-77,-192
-98,-117
-93,-128
-79,-120
-83,-102
-71,-104
-83,-123
-97,-122
-66,-121
-84,-109
-184,-120
-88,-120
-83,-125
-89,-276
-89,-126
-89,-96
-86,-114
-110,-210
-64,-112
-106,-105
-100,-162
-92,-107
-85,-95
-96,-133
-92,-134
-88,-105
-77,-124
-107,-103
-110,-98
-112,-141
-65,-122
-85,-167
-160,-98
-94,-203
-80,-91
-86,-115
-79,-108
-97,-107
-64,-91
-177,-104
-91,-99
-88,-80
-102,-105
-79,-68
-87,-130
-84,-92
-76,-84
-84,-87
-105,-114
-74,-124
-82,-88
-87,-78
-87,-141
-80,-123
-88,-124
-64,-136
-95,-115
-74,-93
-75,-102
-98,-117
-100,-100
-101,-111
-78,-97
-69,-112
-82,-116
-78,-109
-80,-127
-95,-139
-82,-115
-77,-141
-92,-79
-109,-122
-75,-70
-93,-109
-94,-128
-93,-91
-95,-96
-79,-138
-136,-203
-74,-108
-88,-96
-78,-96
-120,-110
-80,-110
-108,-97
-87,-123
-72,-106
-70,-108
-77,-105
-76,-136
-105,-82
-80,-123
-101,-116
-126,-117
-94,-95
-89,-194
-86,-94
,-99
,-87
,-107
,-173
,-251
,-111
,-95
,-123
,-128
,-91
,-113
,-112
,-104
,-112
,-121
,-89
,-100
,-105
,-113
,-122
,-120
,-106
,-119
,-98
,-79
,-319
,-107
,-162
,-125
,-103
,-107
,-128
,-120
,-137
,-110
,-127
,-145
,-127
,-101
,-139
,-121
,-91
,-122
,-118
,-106
,-138
,-228
,-124
,-101
,-133
