scoreSAC,scorePPO
19,47
17,9
24,32
15,20
16,21
9,31
10,26
10,14
9,13
10,18
10,11
9,18
10,11
8,14
10,16
9,36
9,17
10,30
10,59
8,46
9,46
9,60
10,96
50,34
37,96
41,88
65,41
32,35
278,11
146,49
225,22
142,68
384,115
292,83
261,98
310,44
500,164
500,75
400,96
360,371
319,136
295,212
327,167
407,176
500,149
219,187
232,148
467,340
500,392
294,140
309,199
327,189
337,318
334,213
360,146
469,307
389,157
500,136
419,90
500,77
379,61
391,114
500,83
339,126
309,107
500,104
500,123
500,169
500,222
500,116
380,118
500,132
500,149
500,111
439,156
363,198
500,186
500,261
500,320
449,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
484,500
500,500
500,500
500,500
500,500
500,500
500,500
498,500
500,500
426,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
394,500
406,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
500,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
,500
