Rollouts,Average Reward,Standard Deviation
0,-358.6666667,116.3624605
1,-370.3333333,92.92410284
2,-278.6666667,82.62902369
3,-398.6666667,71.6953431
4,-341.6666667,129.0073211
5,-324.6666667,123.3351351
6,-314,136.3402606
7,-345.6666667,116.3739184
8,-315,112.6617356
9,-344.6666667,132.1522691
10,-322.6666667,137.1746656
11,-311,96.50906693
12,-313.3333333,75.64977785
13,-315.3333333,140.3456052
14,-273.6666667,75.54395336
15,-318,111.4540264
16,-235.3333333,86.83445297
17,-253.3333333,30.56504903
18,-312.3333333,138.4830515
19,-276.6666667,81.97696153
20,-226.3333333,48.70546399
21,-290,94.03545431
22,-284,42.10304819
23,-206.3333333,62.87200402
24,-272.3333333,80.40453276
25,-249,91.50227684
26,-247.6666667,98.46939739
27,-195,69.43102092
28,-252.3333333,62.02329312
29,-188,36.80579664
30,-149.6666667,26.59991646
31,-227.3333333,56.47615033
32,-186,24.17988144
33,-227,62.3912387
34,-172,26.19160171
35,-136.3333333,15.92342788
36,-200.3333333,39.810663
37,-196.3333333,53.17476427
38,-163,19.8158186
39,-188,42.83300908
40,-197.3333333,38.02922853
41,-158.6666667,21.66923062
42,-146.3333333,21.6999744
43,-143.6666667,16.04853749
44,-118.6666667,9.030811456
45,-151,22.75961335
46,-131,25.15286597
47,-188.3333333,53.95265414
48,-130,14.44529912
49,-151,18.83259586
50,-134.3333333,8.259674462
51,-199.6666667,31.11626941
52,-170,5.099019514
53,-149.6666667,15.79732748
54,-133,17.04894914
55,-160.3333333,27.01028611
56,-154,16.51262144
57,-142.3333333,2.494438258
58,-150.6666667,12.97005097
59,-146.6666667,28.11089152
60,-150,30.21037349
61,-136,18.83259586
62,-122,12.19289411
63,-146.6666667,36.88119063
64,-146.3333333,30.13672547
65,-153,34.4770455
66,-162.3333333,48.34827355
67,-133.6666667,19.36204764
68,-142.6666667,49.77504953
69,-182.6666667,11.8977122
70,-111.3333333,15.52059564
71,-135,8.524474568
72,-159,15.29705854
73,-147,29.67602849
74,-121.3333333,13.19932658
75,-134,30.62678566
76,-134.6666667,25.03774928
77,-132.6666667,29.26127513
78,-147.3333333,33.5095343
79,-134.3333333,15.860503
80,-142.3333333,17.91337179
81,-139.6666667,6.548960901
82,-116.3333333,17.15290711
83,-140,11.43095213
84,-128,16.0623784
85,-130,9.899494937
86,-280,154.4215011
87,-137.3333333,17.13346303
88,-136,4.320493799
89,-115,8.602325267
90,-127,26.87005769
91,-111.3333333,6.548960901
92,-130,7.788880964
93,-137.3333333,10.84230398
94,-132,23.93045479
95,-114.6666667,18.20866704
96,-124.6666667,14.88474237
97,-117.3333333,8.498365856
98,-127.3333333,13.9124245
99,-114.3333333,11.84154645
100,-114.3333333,17.51824446
101,-113,12.83225104
102,-165.6666667,97.12306054
103,-134,10.23067284
104,-118.6666667,24.28076514
105,-127.3333333,14.52201394
106,-189,98.30903655
107,-125.3333333,12.81492186
108,-123.3333333,2.624669291
109,-125.3333333,15.32608524
110,-115.3333333,11.8977122
111,-122.3333333,9.977753031
112,-188.6666667,46.76418383
113,-150.6666667,40.00277768
