Score1,Score2,Score3,Score4,Score5,Score6
-500.0,-391.0,-500.0,-399.0,-193.0,-500.0
-500.0,-432.0,-500.0,-500.0,-500.0,-500.0
-314.0,-375.0,-500.0,-374.0,-410.0,-376.0
-500.0,-500.0,-500.0,-369.0,-340.0,-500.0
-500.0,-490.0,-500.0,-311.0,-497.0,-500.0
-410.0,-491.0,-500.0,-500.0,-500.0,-488.0
-500.0,-496.0,-500.0,-211.0,-440.0,-500.0
-433.0,-489.0,-500.0,-341.0,-500.0,-500.0
-426.0,-500.0,-402.0,-323.0,-348.0,-472.0
-500.0,-500.0,-500.0,-500.0,-500.0,-500.0
-462.0,-316.0,-500.0,-500.0,-224.0,-324.0
-206.0,-396.0,-490.0,-302.0,-357.0,-340.0
-243.0,-286.0,-500.0,-276.0,-473.0,-341.0
-310.0,-385.0,-436.0,-319.0,-399.0,-500.0
-234.0,-375.0,-500.0,-241.0,-309.0,-365.0
-209.0,-218.0,-500.0,-493.0,-350.0,-454.0
-261.0,-310.0,-438.0,-499.0,-500.0,-169.0
-356.0,-496.0,-500.0,-192.0,-360.0,-296.0
-299.0,-362.0,-242.0,-329.0,-239.0,-267.0
-281.0,-213.0,-251.0,-276.0,-265.0,-249.0
-240.0,-241.0,-370.0,-295.0,-379.0,-253.0
-239.0,-200.0,-319.0,-415.0,-500.0,-210.0
-247.0,-327.0,-333.0,-369.0,-500.0,-334.0
-176.0,-211.0,-500.0,-223.0,-500.0,-207.0
-219.0,-326.0,-500.0,-311.0,-473.0,-247.0
-500.0,-291.0,-500.0,-254.0,-500.0,-207.0
-500.0,-480.0,-500.0,-273.0,-500.0,-242.0
-356.0,-291.0,-241.0,-229.0,-318.0,-206.0
-500.0,-397.0,-385.0,-237.0,-300.0,-262.0
-500.0,-172.0,-347.0,-267.0,-261.0,-164.0
-500.0,-179.0,-500.0,-186.0,-500.0,-135.0
-441.0,-180.0,-361.0,-464.0,-273.0,-259.0
-409.0,-233.0,-290.0,-314.0,-444.0,-189.0
-368.0,-390.0,-295.0,-251.0,-307.0,-205.0
-500.0,-236.0,-500.0,-324.0,-500.0,-179.0
-428.0,-303.0,-370.0,-440.0,-226.0,-114.0
-247.0,-258.0,-304.0,-221.0,-433.0,-219.0
-294.0,-348.0,-412.0,-195.0,-204.0,-259.0
-214.0,-262.0,-359.0,-470.0,-255.0,-176.0
-409.0,-177.0,-277.0,-323.0,-282.0,-180.0
-331.0,-396.0,-347.0,-298.0,-311.0,-218.0
