Score1,Score2,Score3
47,23,30
9,21,12
32,15,33
20,18,74
21,17,26
31,10,12
26,27,24
14,17,15
13,27,45
18,18,37
11,34,14
18,11,22
11,15,37
14,15,23
16,23,90
36,14,16
17,23,13
30,61,13
59,17,17
46,10,12
46,14,19
60,36,16
96,24,13
34,25,9
96,28,19
88,19,13
41,18,19
35,22,25
11,49,26
49,12,31
22,75,63
68,48,11
115,15,28
83,27,21
98,42,10
44,26,33
164,45,28
75,32,66
96,30,16
371,33,115
136,47,39
212,19,118
167,32,14
176,22,10
149,73,47
187,37,35
148,28,28
340,30,47
392,29,62
140,15,180
199,19,196
189,19,93
318,32,205
213,14,70
146,18,84
307,19,116
157,19,82
136,14,157
90,32,453
77,41,99
61,33,15
114,32,111
83,22,186
126,119,228
107,24,254
104,17,381
123,51,500
169,22,500
222,36,252
116,59,476
118,42,500
132,31,500
149,77,500
111,14,500
156,20,500
198,60,500
186,35,500
261,22,500
320,30,500
500,68,500
500,38,500
500,35,500
500,48,500
500,19,500
500,42,500
500,29,500
500,69,500
500,17,500
500,73,500
500,13,320
500,38,462
500,14,371
500,26,128
500,18,110
500,65,500
500,17,500
500,24,500
500,15,500
500,81,500
500,56,500
500,91,500
500,17,500
500,38,500
500,12,500
500,18,500
500,27,500
500,17,500
500,86,500
500,16,500
500,14,500
500,26,500
500,49,500
500,80,500
500,33,500
500,47,500
500,15,500
500,43,500
500,73,500
500,84,500
500,42,500
500,109,500
500,182,500
500,37,500
500,79,500
500,54,500
500,113,500
500,107,500
500,96,500
500,58,500
500,196,500
500,146,500
500,198,500
500,137,500
500,63,500
500,54,500
500,55,500
500,50,500
500,46,500
500,66,500
500,66,500
500,119,500
500,92,500
500,86,500
500,87,500
500,27,500
500,112,500
500,43,500
500,108,500
500,72,500
500,152,500
500,31,500
500,88,500
500,87,500
500,89,500
500,167,500
500,131,500
500,247,500
500,153,500
500,292,500
500,159,500
500,170,500
500,37,500
500,98,500
500,91,500
500,53,500
500,77,500
500,134,500
500,159,500
500,271,500
500,92,500
500,94,500
500,60,500
500,108,488
500,144,500
500,163,500
500,103,500
500,220,500
500,116,500
500,126,500
500,117,500
500,103,500
500,66,51
500,72,500
500,47,500
500,49,500
500,139,500
500,121,500
500,64,500
500,74,500
500,101,500
500,93,500
500,107,500
500,196,123
500,282,500
500,136,40
500,113,254
500,148,500
500,129,500
500,65,500
500,63,500
500,61,500
500,72,500
500,96,500
500,110,500
500,196,500
500,178,500
500,148,500
500,228,500
500,257,500
500,147,500
500,148,500
500,125,500
500,149,500
500,181,500
500,123,60
500,163,260
500,291,500
500,383,500
500,354,500
500,211,500
500,347,500
500,500,500
500,401,500
500,500,500
500,379,500
500,500,500
500,500,500
500,500,500
500,351,500
500,111,500
500,216,500
500,300,500
500,490,500
500,282,500
500,500,500
500,500,500
500,415,500
500,500,500
500,500,500
500,500,500
500,500,500
500,500,500
500,500,500
500,500,500
500,500,500
500,500,500
500,500,500
500,500,500
500,500,500
500,500,500
500,500,500
500,500,500
500,500,500
500,500,500
500,500,500
500,500,500
500,500,500
500,500,500
500,500,500
500,500,500
500,500,500
500,500,500
500,500,500
500,500,500
500,500,500
500,500,500
500,500,500
500,500,500
500,500,500
500,500,500
500,500,500
500,500,500
500,500,500
500,500,500
500,500,500
500,500,500
500,500,500
500,500,500
500,500,500
500,500,500
500,500,500
500,500,380
500,500,500
500,500,500
500,500,490
500,500,500
500,500,500
500,500,500
500,500,500
500,500,500
500,500,500
500,500,500
500,500,500
500,500,500
500,500,500
500,500,500
500,500,500
500,500,500
500,500,500
500,500,500
