Score4,Score5,Score6,Score7,Score8
10,15,10,12,15
41,30,14,16,24
35,30,23,55,35
37,13,16,13,27
15,23,25,14,20
14,34,29,32,24
21,21,10,19,15
21,17,45,11,36
18,29,13,26,24
17,19,33,18,24
38,15,11,21,15
56,13,13,12,9
14,35,24,35,10
10,12,25,12,17
12,13,17,14,26
21,12,10,24,52
14,9,29,17,31
39,40,17,38,11
14,10,24,11,23
17,32,9,8,28
20,46,13,12,11
30,67,46,17,18
47,12,20,13,32
12,15,22,40,22
10,22,28,15,10
53,13,18,12,19
30,14,16,45,14
10,17,21,19,16
17,13,14,22,12
13,14,17,16,43
42,33,16,31,18
10,33,32,17,13
46,25,16,22,17
15,13,28,45,47
19,11,17,36,33
14,21,16,16,19
17,14,21,41,17
17,25,25,11,26
40,13,11,31,38
63,13,13,41,47
19,10,28,11,34
28,12,12,13,13
10,11,56,23,24
27,14,10,25,27
28,23,22,50,24
20,32,17,31,30
17,33,18,53,29
16,30,20,19,41
18,24,14,9,44
36,21,55,12,44
13,9,13,8,12
16,23,16,9,11
25,71,70,12,33
32,24,17,13,19
12,22,51,16,22
25,19,12,10,13
17,20,66,10,57
22,14,16,13,25
13,39,19,16,13
71,19,13,17,46
94,39,19,16,14
14,28,17,13,14
27,23,53,10,24
12,35,29,17,10
20,46,38,30,23
13,46,11,18,31
38,10,53,10,19
25,23,15,10,13
22,19,15,13,44
12,10,38,16,16
11,17,19,41,15
12,12,46,26,20
13,13,46,10,28
20,27,15,9,15
14,14,34,11,10
44,42,29,34,18
22,13,40,10,14
13,20,36,11,16
17,12,10,10,37
22,18,29,18,13
18,10,31,17,25
12,9,17,17,18
53,16,38,26,10
36,28,26,13,34
47,11,74,15,68
17,14,16,14,13
16,18,21,14,13
50,13,39,22,13
20,20,24,15,15
23,24,26,12,27
13,20,45,13,17
19,12,51,11,12
27,16,51,10,15
58,11,42,14,25
39,17,19,10,51
28,15,26,23,30
79,19,19,20,19
62,23,24,15,26
57,41,45,15,57
14,12,14,16,41
25,42,65,20,42
19,19,23,17,21
57,15,31,24,32
32,20,19,17,10
17,59,49,15,22
9,17,39,19,18
21,11,17,13,26
85,16,54,23,28
14,50,34,23,36
24,16,37,12,19
45,18,71,13,16
44,40,27,33,20
20,23,36,35,81
11,29,57,9,13
13,24,20,40,24
29,28,37,31,15
28,53,27,18,21
12,34,21,12,12
54,68,32,31,47
33,18,75,29,19
60,25,43,25,21
37,27,17,17,44
48,64,16,18,35
13,11,17,72,24
43,78,12,18,13
31,11,20,72,65
12,28,98,23,27
59,27,24,33,52
22,54,45,48,21
33,23,49,21,20
26,30,26,26,38
14,13,47,37,54
15,67,51,22,14
21,31,18,12,17
11,49,10,32,14
19,14,29,25,38
27,28,18,13,25
47,31,61,44,39
54,18,12,40,24
33,109,37,39,13
21,24,18,26,62
44,63,11,36,17
21,19,33,13,54
25,63,57,10,44
15,34,59,27,37
34,10,25,15,18
70,13,62,11,18
31,14,28,17,38
44,43,79,20,17
16,20,25,36,23
96,15,29,14,20
14,45,36,15,35
65,17,30,21,52
12,23,63,15,47
24,73,12,26,37
29,15,62,24,32
49,10,12,17,14
50,26,39,37,35
70,14,23,30,23
45,18,54,52,17
78,14,14,42,11
43,22,78,18,12
40,41,43,13,58
