Rollouts,Average Reward,Standard Deviation
0,17.33333333,3.399346342
1,16.33333333,6.847546195
2,44.33333333,1.699673171
3,17,3.265986324
4,16.33333333,2.494438258
5,35,15.93737745
6,59.33333333,33.70789555
7,35.66666667,12.49888884
8,21,3.741657387
9,19,4.546060566
10,29.33333333,4.109609335
11,25,13.58921141
12,13.33333333,0.942809042
13,30,14.71960144
14,17.66666667,3.399346342
15,22.66666667,1.885618083
16,19.33333333,6.342099197
17,42.33333333,29.48822741
18,18,3.741657387
19,30,8.286535263
20,14.33333333,4.027681991
21,19,10.61445555
22,25,10.42433051
23,28,7.257180352
24,32.66666667,8.498365856
25,37.66666667,23.09882152
26,36,12.56980509
27,30.66666667,10.07747764
28,21.33333333,4.988876516
29,57,45.10727953
30,51.66666667,18.08006883
31,74.66666667,70.31516353
32,38.66666667,17.32692189
33,73,29.22327839
34,51,8.286535263
35,64,14.23610434
36,44,2.828427125
37,92.33333333,58.2027109
38,34.33333333,14.33720878
39,64.33333333,28.42924941
40,119,103.2408188
41,84,18.23915203
42,34.66666667,27.62044331
43,60.66666667,18.20866704
44,65.66666667,29.40899333
45,60,17.90716802
46,31,4.898979486
47,84.66666667,31.37231618
48,132.6666667,90.77934175
49,134,54.99696961
50,67.66666667,14.72714802
51,48,10.19803903
52,70.66666667,16.33673434
53,105.6666667,50.38738819
54,83,24.75210429
55,87.33333333,23.69716345
56,135,45.36518489
57,137.6666667,64.97349887
58,154.6666667,81.87117251
59,134.3333333,75.78185066
60,182,50.4050262
61,192,138.3787074
62,172.3333333,89.0705089
63,202.3333333,42.40545038
64,230.6666667,27.39018478
65,209,16.30950643
66,316.6666667,163.4163055
67,220,114.9260632
68,256.3333333,164.989562
69,201.6666667,90.64337936
70,272.3333333,151.1959729
71,300.3333333,152.7794343
72,359.6666667,72.70641115
73,456.3333333,61.75399222
74,339.3333333,122.4645073
75,497,4.242640687
76,462.3333333,31.89914663
77,500,0
78,447.3333333,74.48191428
79,426.6666667,103.7089946
80,500,0
81,500,0
82,380,169.7056275
83,457,60.81118318
84,500,0
85,500,0
86,500,0
87,412,124.4507935
88,461.3333333,54.68292441
89,355,205.0609665
90,383,165.4629868
91,370.3333333,146.8566951
92,365,190.9188309
93,397,145.6639969
94,374.6666667,177.2480998
95,446.3333333,75.89612785
96,500,0
97,500,0
98,500,0
99,500,0
100,500,0
101,500,0
102,500,0
103,500,0
104,500,0
105,500,0
106,500,0
107,500,0
108,500,0
109,500,0
110,500,0
111,500,0
112,500,0
113,500,0
114,500,0
115,500,0
116,500,0
117,500,0
118,500,0
119,500,0
120,500,0
121,500,0
122,500,0
123,500,0
124,500,0
125,500,0
126,500,0
127,500,0
128,500,0
129,500,0
130,500,0
131,500,0
132,500,0
133,500,0
134,500,0
135,500,0
136,500,0
137,500,0
138,500,0
139,500,0
140,500,0
141,500,0
142,500,0
143,500,0
144,500,0
145,500,0
146,500,0
147,500,0
148,500,0
149,500,0
150,500,0
151,500,0
152,500,0
153,500,0
154,500,0
155,500,0
156,500,0
157,500,0
158,500,0
159,500,0
160,500,0
161,500,0
162,500,0
163,500,0
164,500,0
165,500,0
166,500,0
167,500,0
168,500,0
169,500,0
170,500,0
171,500,0
172,500,0
173,500,0
174,500,0
175,500,0
176,500,0
177,500,0
178,500,0
179,500,0
180,500,0
181,500,0
182,500,0
183,500,0
184,500,0
185,500,0
186,500,0
187,500,0
188,500,0
189,500,0
190,500,0
191,500,0
192,500,0
193,500,0
194,500,0
195,500,0
196,500,0
197,500,0
198,500,0
199,500,0
