Score1,Score2,Score3,Score4,Score5,Score6
-95.18162536,-121.0264963,-119.5416434,-95.62902389,-665.5850135,-57.86959968
-64.63498092,-80.71238534,-123.7389796,-63.93230675,-864.4545374,-19.7465288
-48.72128938,-63.05433708,-97.46069857,-47.06327165,-817.4838268,-13.89100199
-33.46497663,-38.48270908,-80.23314927,-34.30401948,-833.3030687,-14.47248905
-24.89130282,-35.60780524,-69.13754042,-25.96736112,-894.6914412,-14.19806506
-21.14678234,-25.89947733,-64.80096705,-19.36246967,-837.9596438,-12.68250376
-17.74448815,-20.71379005,-53.45624568,-13.9693607,-901.1045582,-15.33656905
-16.12633616,-25.9765595,-52.37813181,-13.46679514,-775.6780897,-13.07482317
-14.06105673,71.38142961,-43.66122759,-12.27026365,-852.4824219,-13.45698933
-13.3827205,59.89153649,-38.1549105,-13.62718402,-862.8692575,-14.05605512
-12.46489153,72.31873721,-34.44999836,-14.67034509,-776.8642915,-14.13126653
-13.01509214,73.09073726,-32.19738059,-13.02524995,-869.0930898,-14.7374917
-13.39502154,-18.3898692,-24.88922472,-14.43268473,-747.2385371,-14.11129665
-14.274646,80.42600124,-22.88488489,-12.63559624,-860.4404366,-13.9084203
-13.11449566,77.50000402,-20.54183932,-14.02711089,-820.3033908,-13.45859604
-14.57000404,85.47772661,-18.35179183,-13.80684421,-837.9459707,-14.76562505
-14.33340436,77.15178653,-16.09187801,-13.33916743,-827.6180867,-12.67632038
-13.47146943,86.01898233,-15.85490959,-12.05694264,-788.9720255,-14.2688025
-14.22401659,85.4989499,-14.22283684,-13.44273582,-783.1786352,-13.54143032
51.73680845,85.76080645,-13.55003797,-12.3960674,-763.5082969,-14.21611029
78.97099553,82.29897008,-14.17220819,-14.23923965,-845.3735564,-15.09164218
82.00455648,70.94812989,-13.15591156,-14.36636821,-833.0514508,-12.94759661
75.66808724,87.65633442,-13.90861866,-12.19339751,-767.6937019,-13.88780946
89.99700474,85.89666872,-14.20943029,-12.75292967,-853.0728803,-13.77083296
73.20328949,83.87240813,-13.05400326,-14.18684782,-845.2702899,-13.9861037
72.37068928,80.94326683,-13.38954815,-13.07085398,-816.6744452,-13.76369007
91.14155156,83.04968716,-13.85259025,-13.61633704,-887.1344187,-14.67263258
74.57199206,80.41818433,-14.7768602,-13.43443741,-896.7418571,-13.88992747
62.3975976,92.42927376,-12.77857828,-13.484348,-808.3205232,-14.66097448
88.62608434,83.30458467,-13.59832836,-14.10034481,-795.2175452,-14.18876979
79.89650332,75.09062257,-13.76736794,-12.86474154,-878.9153764,-13.44006717
82.37059057,86.5770158,-13.68681646,-13.0174635,-763.4254601,-14.05402462
83.11356109,88.65549985,-12.70546927,-13.4767409,-873.9184458,-13.95796509
92.40576426,88.01542011,-12.90290936,-13.66214731,-770.9401826,-13.859879
79.95937054,87.78217039,-13.7852559,-13.18827152,-850.6430573,-13.19440939
89.71644047,84.20942127,-13.76587062,-14.04350907,-825.7789355,-13.79561023
83.38100177,89.96919317,-13.02581881,-13.41474394,-821.3128717,-12.02275385
85.25536661,89.63227306,-15.47603099,-13.88757112,-846.2622987,-14.26763397
89.03579889,90.81611855,-12.55068926,-13.35031576,-800.9101427,-13.73154762
91.31702992,89.64739206,-12.80126094,-12.9393196,-909.5524882,-13.03976135
76.62078403,89.59637417,-13.13681748,-13.56696298,-756.3643409,-13.60942387
87.86021722,88.87851042,-14.41786748,-13.99680415,-869.0357937,-13.13912493
90.69297939,90.63013761,-14.0786462,-14.98579677,-864.875096,-14.15929769
69.26059185,89.24490948,-13.10179085,-13.5079797,-782.1557838,-12.96022506
64.70986257,89.41424689,-12.54352092,-13.71504453,-875.1492073,-13.96477602
90.74800123,86.6112956,-13.29501275,-13.568573,-758.4152574,-13.84345994
75.68711809,87.29837041,-12.63337487,-13.28726459,-833.0298035,-14.58350737
89.7095101,89.05707762,-12.96372897,-13.26400309,-831.0944128,-14.13686133
91.41734282,89.79588101,-14.07718619,-14.45699196,-751.2217275,-14.49029135
73.99853386,85.50620417,-14.38688436,-13.23155026,-857.0695639,-13.19091042
90.55853376,87.47063072,-14.34731618,-13.54554347,-840.5041472,-12.862382
83.79718987,87.01623406,-13.90291387,-13.57656244,-778.7482656,-14.65404596
87.33620223,89.43224571,-12.75220564,-13.65655152,-821.2818257,-13.56040258
91.1422553,88.37671346,-13.81799407,-13.96617119,-833.9161265,-12.76630254
88.94921018,86.57461783,-13.26185869,-13.43717368,-839.2347722,-13.98422666
90.33744537,84.17839841,-13.17979119,-13.70833771,-879.0925603,-14.19925614
87.61272826,89.18728111,-12.56600486,-14.11495043,-831.5620713,-14.09736089
89.477754,83.44582328,-13.32156369,-13.49237483,-934.9081604,-13.70052594
91.73493451,88.34994538,-12.94246693,-14.00380308,-839.6385053,-13.5311632
88.13170937,88.08327966,-14.32081165,-13.82764572,-894.4201127,-13.42091751
92.58894453,89.28545169,-12.90362707,-14.60460885,-812.7203693,-13.51095193
88.9659947,87.185333,-13.4909501,-13.78774863,-797.3796603,-13.84718728
54.72184343,83.60721546,-13.30494854,-12.68312108,-868.2828687,-14.35520612
87.52127576,91.62993818,-14.03799905,-13.89045923,-893.2897081,-13.46503564
92.53998524,88.69407029,-13.94832261,-13.90215817,-863.0846623,-13.75910343
91.11941485,86.76070088,-13.42066616,-13.992107,-869.1271127,-14.22878428
90.94221557,86.52956354,-13.92117247,-14.70611352,-848.3233526,-15.00730695
59.05954652,87.89763036,-12.33263825,-13.76321293,-803.0709309,-14.04521953
88.05070173,85.39565045,-13.91948848,-13.734238,-871.6840268,-13.81847892
91.28123908,87.3586714,-13.78042887,-13.93644629,-797.6480438,-13.22000328
90.58557913,87.51886323,-13.46275853,-14.2498835,-825.1553165,-14.21950248
90.98878759,86.4001383,-13.63027353,86.549378,-872.7071849,-13.23692573
92.2301217,86.1525599,-12.98718872,85.15134005,-801.3589011,-14.08154122
86.19817888,82.21512478,-12.67627796,-13.77699113,-800.4870788,-14.06069494
87.35784632,90.09864951,-13.04525359,-12.66596096,-865.5856267,-12.96508065
91.97319295,89.22889724,-13.19848788,-13.628065,-821.8277092,-13.63807125
88.65769093,89.21148288,-15.27359227,-13.8509522,-821.1558203,-13.51779408
84.18887211,87.11755269,-14.26817372,-14.70713272,-832.5278973,-13.11962837
78.97771308,88.27155172,-13.01599239,-14.57748217,-866.9157249,-13.9289244
90.33144318,87.78492981,-13.84073357,-15.92041231,-794.2518057,-13.57974529
88.91444879,87.08633086,-14.04425042,88.06241686,-834.4061616,-13.90296442
90.86851401,89.03481707,-13.05099868,89.83736347,-884.2759323,-13.59135656
85.02131853,89.5058926,-13.55586198,87.52032637,-845.5606553,-13.49344352
92.81295474,89.29269318,-13.59108981,91.51360569,-903.4282505,-13.17551474
93.25325233,86.59857377,-13.79588744,90.00311643,-847.3785074,-13.83257229
74.37805212,89.04772216,-14.11354914,87.8827496,-877.5317649,-12.77850543
91.96242444,86.19546867,-12.92139913,85.8136277,-847.9836482,-14.17642078
92.2273749,86.76329674,-13.48059743,94.55611484,-916.4413409,-14.67213484
90.37923457,86.61533249,-14.53407568,91.93186586,-819.7638586,-13.79593269
89.86058571,86.72058254,-14.48968138,92.63738984,-908.0801318,-12.65120158
93.41154977,87.33687343,-12.71039828,91.80667179,-909.2494958,-13.57403281
90.63768785,84.86996159,-14.59643432,92.30127789,-832.0194802,-13.89506777
72.77746015,84.66446418,-13.5594451,93.32673355,-845.0911119,-14.30880139
94.72871781,87.29261075,-13.64158512,93.24658402,-854.5584712,-14.87357884
93.52355508,90.21680988,-13.31346392,94.87484826,-843.5514134,-12.90010522
88.95105811,87.29710473,-15.16360377,92.30660885,-772.9175344,-13.08899029
91.43880587,86.56073064,-13.961412,91.57298785,-824.0237454,-12.66781806
91.37852381,88.40559984,-13.95407801,94.2630908,-870.2613123,-14.16317659
