Score,Score,Score,Score,Score
-1059.592734247446,-1463.0701384544373,-1219.5163393318653,-1350.8037647604942,-1141.891673564911
-911.1823992617428,-1000.3516761660576,-1164.8173189461231,-1301.218241095543,-1526.7730984687803
-1226.3537021130323,-1260.024401664734,-1015.8006902039052,-1151.318401414901,-1655.551959276199
-1057.4391665235162,-1305.4211201667786,-1455.0586988925934,-1334.6915116906166,-1528.3172900676727
-978.555362519808,-1095.1563327014446,-949.5195329892448,-1378.100722581148,-1831.091898918152
-1001.2591135203838,-1004.610251903534,-1547.582587003708,-1297.5698370933533,-1240.6549756526947
-1120.3911919295788,-1448.6612350940704,-1386.3468945026398,-1312.7386917471886,-1034.7027124166489
-1201.029823601246,-933.1291730254889,-1209.15886592865,-1124.3659366257489,-1258.9262280464172
-899.04740344733,-965.0104493498802,-1066.8764997422695,-1321.9123532623053,-1322.849850177765
-872.1086754649878,-1022.9908977597952,-1762.0914645195007,-1259.9986251816154,-1562.1942722797394
-1297.928397655487,-1009.7143284529448,-1759.9790105819702,-1186.2311852276323,-1636.6105070114136
-1017.0353459715844,-1788.531707763672,-1080.0479296445849,-1203.8611837625504,-1440.166441321373
-1324.6562151908877,-963.9068475812674,-1058.8322767177597,-1353.099856555462,-1466.79044175148
-893.2967092304025,-1143.8331536054611,-1664.328254699707,-1209.4603962600231,-1354.0504796504974
-900.2176493182778,-877.8025863375515,-1077.992188990116,-1287.0958210229874,-975.4246056117116
-1506.5886070728302,-1098.52262817882,-1608.194086074829,-1314.103979229927,-1357.9430350065231
-1333.8845624923706,-1114.9487555027008,-1103.5116174817083,-1542.4971957206726,-1192.9759706407783
-1114.913517549634,-1206.506369829178,-1424.8409321308136,-1250.9589595794678,-915.593374416232
-1252.3777174949646,-1017.2496915012598,-1118.9880666732788,-1375.5240884274244,-1042.28247384727
-896.4756053984165,-872.568666074425,-1493.880738735199,-1177.1305409371853,-1083.3979099988935
-869.4553697779775,-1169.2956701777875,-1143.1762967072427,-1279.7872099280355,-1359.9504616260529
-1522.3702838420868,-908.5135968755932,-1257.6650639139116,-1370.6287038251758,-1081.5325509011743
-1223.7496171146631,-1266.810073137283,-1720.4521656036377,-1328.3564842939377,-1017.9545179009438
-976.6358193457128,-1034.6163718253374,-1227.8711087703705,-1243.242618471384,-1186.114756822586
