Rollouts,Average Reward,Standard Deviation
0,-1064.409349,680.408243
1,-1066.616225,683.5185514
2,-1018.671465,604.7425512
3,-931.35057,511.5288741
4,-1008.807305,620.1995647
5,-952.3020023,648.1065557
6,-1006.922239,628.1223886
7,-989.4633463,646.1080447
8,-1054.782167,636.4039512
9,-977.8012583,448.7347624
10,-1030.497284,549.4716647
11,-977.7656463,511.7431448
12,-994.4447557,644.2367042
13,-998.391646,645.2281173
14,-974.8103223,578.8912528
15,-865.2673927,447.0130803
16,-911.5022047,640.0012643
17,-1202.780752,608.6267764
18,-954.0258871,586.4235688
19,-875.892532,539.395773
20,-963.6922877,509.170054
21,-865.7151007,513.4787911
22,-918.1041597,562.6418162
23,-1159.493738,681.7706485
24,-1045.108252,599.5586685
25,-931.7334875,572.8464372
26,-714.3065372,381.8749034
27,-968.9798793,583.9016389
28,-903.2788833,615.9044035
29,-1046.437628,747.6492768
30,-905.6106617,554.933199
31,-883.0320667,657.8314102
32,-949.856725,579.6850506
33,-1060.751247,745.483965
34,-843.098882,620.1883118
35,-918.5138908,655.4526348
36,-856.4074395,629.4122586
37,-858.6505364,632.8181153
38,-971.53988,644.3062765
39,-851.3314166,601.7863428
40,-871.368689,664.8494778
41,-902.7895087,651.7463674
42,-1029.847046,784.2417451
43,-753.0976064,611.3485878
44,-806.3139767,595.058479
45,-746.7725702,566.9968928
46,-821.7182153,664.2836262
47,-795.7745472,658.8886506
48,-937.5663093,693.3235437
49,-790.5777083,614.8924233
50,-769.4480942,577.4298642
51,-876.6705627,619.8968638
52,-921.0168557,706.9618554
53,-735.1746354,531.4847732
54,-830.3108629,665.3773251
55,-800.0431402,584.9194963
56,-794.0592534,619.4192695
57,-787.1976656,610.9069439
58,-810.7767649,600.4132164
59,-810.8146417,621.5819045
60,-771.7225639,609.1497122
61,-826.9913177,644.6024748
62,-834.6799804,583.108986
63,-693.9835298,480.2875078
64,-744.8867367,541.4679594
65,-829.4261157,577.0315328
66,-620.207538,398.6919399
67,-672.8977271,582.9582068
68,-793.6428253,570.8863138
69,-736.3772967,639.1362899
70,-754.9528144,548.0717722
71,-704.8712351,571.1620053
72,-691.6417451,449.2264551
73,-655.645501,527.5765906
74,-689.855563,495.8957666
75,-749.6773072,577.8937984
76,-683.3482907,544.4813374
77,-763.5854961,534.1777664
78,-651.1760686,543.7937659
79,-612.2821224,440.0485174
80,-695.2935297,595.0015616
81,-585.003147,407.7874418
82,-514.5875733,363.4238858
83,-467.2320028,278.1964175
84,-638.5474633,581.0821846
85,-683.3445896,556.6921336
86,-605.7529212,426.9755292
87,-728.5268189,535.4133839
88,-572.6354954,420.3756078
89,-660.6207544,547.2779801
90,-694.5437507,547.210192
91,-471.165371,405.5392821
92,-708.115979,527.7118327
93,-674.4555711,537.6629119
94,-688.8654205,561.7826469
95,-618.2016823,459.6934294
96,-540.4510622,375.6065411
97,-519.0400239,399.8928539
98,-693.5073469,508.211656
99,-611.189311,455.8978413
100,-680.2492616,510.3681888
101,-538.3787867,203.9084186
102,-469.3436581,397.4281178
103,-531.8518626,472.9716283
104,-205.3032222,84.4087045
105,-683.7252111,360.654986
106,-677.0559985,491.5524606
107,-548.6813703,446.8403298
108,-573.7402782,495.9190478
109,-259.6851421,346.596371
110,-379.4779103,220.3844135
111,-554.3493741,351.566138
112,-195.3139148,187.5165452
113,-539.1070004,398.4748969
114,-262.7342141,221.8709232
115,-205.7791264,152.9227979
116,-346.4034886,382.0943386
117,-468.8499124,621.4445473
118,-284.025932,333.2788366
119,-470.4719293,411.2642145
120,-365.7509531,272.4160605
121,-382.2951936,232.6132545
122,-218.1186437,71.98311764
123,-259.1986891,140.2632606
124,-476.9508975,319.8208423
125,-176.6943028,64.55696074
126,-472.1707157,406.2042243
127,-256.6156882,137.8530516
128,-423.9515135,419.7836353
129,-481.7906843,359.041061
130,-119.8756482,18.07957408
131,-217.945105,149.5432586
132,-253.25775,131.6964482
133,-353.1928473,403.8255008
134,-175.9260227,70.38911558
