scoreSAC,scorePPO
-1055.8,-1059.592734
-1688.9,-911.1823993
-1341.7,-1226.353702
-1278.4,-1057.439167
-975.1,-978.5553625
-657.3,-1001.259114
-139,-1120.391192
-127.9,-1201.029824
-491.7,-899.0474034
-493.1,-872.1086755
-382.1,-1297.928398
-347.3,-1017.035346
-118.7,-1324.656215
-130.2,-893.2967092
-133.2,-900.2176493
-246.2,-1506.588607
-135.7,-1333.884562
-285.9,-1114.913518
-427.6,-1252.377717
-135.8,-896.4756054
-269.4,-869.4553698
-136,-1522.370284
-126.5,-1223.749617
-926.8,-976.6358193
-125.4,-1077.83458
-127.6,-1592.603432
-248.4,-965.1707868
-1.2,-1553.400552
-127.5,-1700.46455
-346.1,-863.2885642
-245.7,-996.028179
-129.8,-741.4302424
-362.3,-889.6854726
-8.6,-1556.182213
-127.3,-1470.602853
-127.9,-1334.120018
-125.4,-869.0831819
-7.8,-863.5034959
-122.9,-829.0551363
-256.8,-977.4957476
-237.1,-1314.297848
-231.8,-1320.737367
-128.1,-738.5758287
-129.2,-857.7676422
-235.8,-1111.318419
-136.5,-1119.724198
-314.6,-1123.050359
-257.9,-841.2116354
-245.6,-1261.030965
-238.3,-1008.170949
-334.9,-857.7607534
-241.2,-972.6544461
-120.3,-1353.224173
-6.7,-928.4805781
-234,-1098.322354
-121,-1088.283955
-136.2,-980.6036363
-130.5,-872.4851546
-369.3,-1214.715723
-249.5,-889.0709727
-127.3,-1294.287263
-134,-775.0966507
-9,-863.376179
-231.6,-1143.26668
-9.3,-635.5130069
-123.9,-835.3426811
-129.2,-910.5973493
-235,-889.3806404
-130.4,-863.1414139
-5,-509.9635173
-117.4,-662.2404497
-233.6,-518.0241606
-232.7,-857.554352
-234.9,-379.9708341
-128.1,-648.479366
-129.8,-938.0198169
-121,-650.5295681
-119.8,-478.7606404
-129.1,-786.6715793
-123.2,-888.2423532
-237.8,-773.9288754
-121.4,-857.0299638
-131.2,-384.6843328
-1.9,-2.909053057
-116.6,-388.6000114
-121.3,-651.3725788
-242.2,-253.4439222
-237.7,-256.557537
-115.5,-254.4199676
-2.6,-388.9072756
-123.3,-288.1669311
-117.3,-396.2412516
-126.1,-131.4726379
-116.3,-251.1007736
-379.6,-4.176479518
-125.9,-4.279368365
-121.7,-2.64737373
-126.9,-2.580922889
-3.1,-255.1146014
-119,-2.363631509
-124.5,-548.9853004
-244.9,-644.5644081
-123,-702.5235716
-126.5,-251.0108799
-130,-254.0458033
-128.6,-533.0375502
-127.8,-510.8881053
-305.7,-124.7008434
-119.6,-671.3884939
-233.7,-521.0813879
-392.5,-256.4708791
-122.5,-514.7484892
-5.2,-128.5334972
-124.3,-379.7019092
-255.7,-132.7983111
-118,-407.9683953
-122.7,-128.3581622
-2.5,-392.1481738
-226.4,-249.0230534
-4.9,-127.0872986
-121,-809.9900857
-124.2,-416.2551657
-2.6,-127.5089588
-130.1,-261.5495162
-120.9,-513.6495707
-124.7,-1.394689123
-247.2,-251.8819364
-247.8,-0.810940733
-126.1,-388.6327988
-2.7,-666.9544983
-362.6,-262.1877947
-327.1,-416.1666764
-234.4,-506.9811576
-246.8,-382.1075271
-4.3,-383.4236881
-127.5,-254.2889096
-130,-602.6446682
-236.4,-129.0262099
-266.6,-392.2547008
-134,-129.2128875
-260.4,-516.5107889
-130.8,-491.1596775
-130.7,-513.5619049
-124.6,-259.7400288
-5.2,-383.2250521
-279.8,-130.3600601
-2.3,-637.4156108
-10.1,-505.6550476
-252.6,-418.354398
-128.5,-130.9220926
-118.2,-131.8396227
-9,-521.4507694
-125.4,-2.092222381
-230.3,-254.1972868
-5.7,-257.703429
-124.9,-408.0055575
-243.4,-505.9348329
-126,-129.0788649
-125.2,-535.5307312
-231.5,-132.4265561
-367.7,-130.5241982
-118.7,-253.6672861
-337.2,-0.801331235
-12,-260.3337423
-122.9,-2.904552638
-129.2,-133.4722311
-127.5,-256.1499584
-7.6,-127.62675
-126.2,-428.7084331
-131.6,-389.6626146
-251.4,-524.4098006
-237,-258.5954837
-129.4,-1.401144029
-125.8,-266.6557044
-120.7,-519.7941205
-240,-2.033848699
-238.2,-1.195692248
-128.6,-252.6305697
-124.4,-247.4979098
-120.2,-128.0867045
-132.4,-388.9292443
-131.2,-255.3321158
-127.5,-381.1388883
-128.3,-125.3697601
-3.2,-2.992733754
-308.6,-417.2986923
-243.4,-379.9184528
-5.2,-1.732449563
-10.3,-510.9862791
-235.8,-260.1956826
-234,-515.5777719
-121.9,-3.336664565
-345.7,-0.814999152
-228.6,-1.464673217
-120.4,-257.2913076
-128,-256.8310546
-242.9,-502.0361518
-122.7,-378.4823834
-117.1,-127.0575424
-130.4,-496.9784696
,-388.8948295
,-254.6836005
,-400.2913326
,-546.9744448
,-0.794230549
,-377.4259165
,-379.2287903
,-125.9548122
,-1.440096497
,-254.0806697
,-495.853788
,-129.6232157
,-2.225779815
,-256.8886909
,-508.8999983
,-126.8280115
,-263.8885843
,-127.7827152
,-255.1456494
,-513.3650198
,-503.3708496
,-668.5436937
,-546.2457062
,-127.8761914
,-392.4558877
,-259.2093813
,-389.5341361
,-391.2882997
,-406.8055521
,-127.4969356
,-127.9471782
,-379.8574028
,-124.0684006
,-128.2645864
,-125.5055551
,-390.6954711
,-128.8363856
,-127.6767764
,-254.3605719
,-128.1947012
,-0.64365984
,-0.505675419
,-127.8670163
,-501.4289748
,-375.1982186
,-259.9835174
,-256.0117103
,-387.9038056
,-404.6987713
,-410.6141949
,-404.2143784
,-387.1601377
,-255.7416356
,-406.4281352
,-723.7628741
,-0.725533047
,-687.3108013
,-266.375508
,-785.7981328
,-257.7861135
,-406.3697433
,-398.3933385
,-525.3889083
,-523.8964425
,-252.9156935
,-261.8281938
,-309.1780883
,-497.6010879
,-1.215752093
,-133.1731546
,-124.9997094
,-1.553938311
,-125.2051729
,-128.7935834
,-128.2895663
,-122.6535246
,-282.9048605
,-368.3902066
,-422.3063952
,-118.4650515
,-267.3228543
,-255.7395619
,-246.7604669
,-248.232776
,-528.2506243
,-126.2204369
,-0.525406501
,-127.7298238
,-258.3263874
,-132.558891
,-257.1803955
,-126.0955651
,-0.670379696
,-258.6060014
,-383.5599942
,-389.5799781
,-128.8478805
,-273.6478453
,-381.9230007
,-128.4369124
