Rollouts,Average Reward,Standard Deviation
0,-348.3333333,107.2453055
1,-236,122.1556384
2,-190.3333333,103.0932695
3,-264.6666667,88.68045006
4,-278,111.2145074
5,-265.3333333,163.8583399
6,-321.6666667,129.2087028
7,-259.6666667,170.9314352
8,-265.3333333,171.0795786
9,-247,181.4993113
10,-230.6666667,190.491178
11,-244.3333333,180.8394008
12,-194,67.48827059
13,-121,24.0970261
14,-122.3333333,9.843215373
15,-127.6666667,9.533566431
16,-177.3333333,34.29609631
17,-180.3333333,36.00308629
18,-135.6666667,19.95550606
19,-149.3333333,33.99346342
20,-117.3333333,22.8813364
21,-144,44.92957452
22,-118.6666667,17.91337179
23,-152.6666667,44.57453184
24,-131,38.21866909
25,-117.3333333,1.699673171
26,-142.6666667,57.56349152
27,-104.3333333,11.0855261
28,-115.3333333,26.13214283
29,-120.6666667,21.91397322
30,-102.3333333,20.13840996
31,-106.6666667,5.436502143
32,-106.3333333,5.436502143
33,-100.6666667,18.08006883
34,-121.3333333,15.32608524
35,-80.66666667,11.58543146
36,-119.3333333,17.63204154
37,-119.3333333,52.21962168
38,-101.3333333,9.877021593
39,-117,32.12475681
40,-94,4.320493799
41,-111.6666667,38.42163742
42,-101,8.485281374
43,-105.3333333,16.73983937
44,-254,175.8995926
45,-81,14.23610434
46,-96.66666667,15.36952251
47,-109.6666667,13.9124245
48,-107,15.57776193
49,-95.66666667,8.993825042
50,-98.66666667,14.00793426
51,-98.33333333,13.0724477
52,-90.66666667,4.18993503
53,-90.66666667,2.867441756
54,-130,49.50420858
55,-92.33333333,4.988876516
56,-100.3333333,12.03698006
57,-84.66666667,8.013876853
58,-101.6666667,23.89328125
59,-92.66666667,19.18911729
60,-101.6666667,31.93048004
61,-85.66666667,9.030811456
62,-84.66666667,12.49888884
63,-94.66666667,12.47219129
64,-89.66666667,10.53037933
65,-92.33333333,4.784233365
66,-87.33333333,9.741092797
67,-101,22.75961335
68,-117.3333333,19.93879524
69,-91,8.041558721
70,-96,18.05547009
71,-94,14.69693846
72,-92.66666667,14.26728971
73,-107.3333333,25.03774928
74,-100,19.6468827
75,-90.66666667,7.930251502
76,-80.66666667,4.109609335
77,-86,9.933109617
78,-106,6.531972647
79,-112,23.42363479
80,-98.33333333,14.81740718
81,-83.66666667,1.699673171
82,-89.66666667,10.6249183
83,-85,4.966554809
84,-93,12.19289411
85,-90.33333333,23.89328125
86,-97.66666667,21.48384406
87,-98,7.348469228
88,-82,1.632993162
89,-94.66666667,13.19932658
90,-93.66666667,9.672412086
91,-96,25.66450207
92,-88.33333333,7.40870359
93,-94.33333333,2.624669291
94,-96.66666667,12.91854825
95,-98.33333333,19.18911729
