Rollouts,Average Reward,Standard Deviation
0,12,2.943920289
1,24.66666667,11.11555467
2,32.33333333,14.05544576
3,12.66666667,1.247219129
4,26,12.32882801
5,10.66666667,0.942809042
6,16.66666667,2.624669291
7,17.66666667,4.18993503
8,21.33333333,18.85618083
9,13,5.656854249
10,13,4.242640687
11,9.666666667,0.942809042
12,12.66666667,5.185449729
13,14.66666667,6.599663291
14,13,5.656854249
15,16.66666667,12.25651754
16,11,2.828427125
17,19.66666667,12.36482466
18,28.33333333,18.69640488
19,25.66666667,19.48218559
20,32.33333333,28.85981443
21,23.66666667,19.34482417
22,25.33333333,11.8977122
23,23.33333333,11.32352517
24,30.66666667,25.19700159
25,73,65.82299497
26,49,23.25224004
27,48.66666667,38.78430381
28,68.33333333,32.06590436
29,47.66666667,30.55414138
30,48,37.85058344
31,65.66666667,59.01600536
32,91.33333333,37.9853773
33,117,47.07440918
34,194.3333333,40.53256578
35,100,55.86292748
36,179.6666667,53.01781671
37,149,40.4310112
38,189,73.92338376
39,179,53.85783756
40,192,101.9509686
41,185.3333333,44.75364665
42,148.3333333,68.47059385
43,164.6666667,46.80693206
44,198.6666667,78.14658591
45,226.3333333,75.41146391
46,210,55.97023018
47,271.6666667,22.42518426
48,213.3333333,72.6926559
49,278.3333333,87.33206106
50,265.3333333,55.55377775
51,262,17.04894914
52,304.3333333,43.08389748
53,327.6666667,122.692932
54,379,104.9793631
55,266.6666667,82.72981459
56,300.6666667,86.84213007
57,296.3333333,102.4120219
58,288.6666667,141.7564421
59,372.3333333,147.9106337
60,303.3333333,105.0153428
61,387.6666667,158.8633235
62,393.3333333,150.8494467
63,408.3333333,129.6362432
64,481.6666667,25.92724864
65,400,141.4213562
66,404.6666667,134.8216929
67,423.3333333,108.4230398
68,475.6666667,34.41253002
69,482,25.45584412
70,442.6666667,81.08157758
71,324.6666667,124.1110614
72,407,131.5218613
73,489.6666667,14.61354014
74,500,0
75,476.6666667,32.99831646
76,500,0
77,413.6666667,122.0937709
78,500,0
79,500,0
80,500,0
81,500,0
82,500,0
83,500,0
84,500,0
85,500,0
86,500,0
87,500,0
88,500,0
89,480.6666667,27.34146221
90,491.6666667,11.78511302
91,500,0
92,500,0
93,500,0
94,500,0
95,487,18.38477631
96,422.3333333,109.8372533
97,500,0
98,410,127.2792206
99,500,0
100,438.6666667,86.73843183
101,430,98.99494937
102,482.6666667,24.51303508
103,415.6666667,119.2653438
104,466,48.08326112
105,500,0
106,500,0
107,500,0
108,448.6666667,72.5962962
109,416,118.7939392
110,500,0
111,458.6666667,58.45416058
112,431.3333333,97.10933128
113,464,50.91168825
114,500,0
115,500,0
116,500,0
117,500,0
118,500,0
119,500,0
120,500,0
121,500,0
122,500,0
123,500,0
124,500,0
125,467,46.66904756
126,500,0
127,500,0
128,500,0
129,500,0
130,500,0
131,500,0
132,500,0
133,500,0
134,500,0
135,500,0
136,500,0
137,500,0
138,500,0
139,500,0
140,500,0
141,500,0
142,500,0
143,417,117.3797257
144,500,0
145,500,0
146,500,0
147,500,0
148,500,0
149,500,0
150,500,0
151,500,0
152,500,0
153,500,0
154,500,0
155,500,0
156,500,0
157,500,0
158,430.3333333,98.52354485
159,500,0
160,500,0
161,466.6666667,47.14045208
162,500,0
163,500,0
164,500,0
165,500,0
166,500,0
167,500,0
168,500,0
169,500,0
170,448.3333333,73.06770072
171,500,0
172,500,0
173,500,0
174,500,0
175,439.3333333,85.79562278
176,500,0
177,500,0
178,500,0
179,500,0
180,500,0
181,500,0
182,476,33.9411255
183,500,0
184,463,52.32590181
185,438.3333333,87.20983635
186,471,41.01219331
187,471.6666667,40.06938427
188,500,0
189,500,0
190,500,0
191,500,0
192,500,0
193,500,0
194,500,0
195,500,0
196,500,0
197,500,0
198,500,0
199,486,19.79898987
,500,0
,500,0
,500,0
,500,0
,500,0
,500,0
,500,0
,500,0
,500,0
,500,0
,500,0
,500,0
,500,0
,500,0
,478.3333333,30.64129385
,394.6666667,148.9638286
,393,151.3208512
,500,0
,500,0
,500,0
,500,0
,500,0
,500,0
,500,0
,500,0
,500,0
,500,0
,500,0
,500,0
,500,0
,500,0
,500,0
,500,0
,500,0
,500,0
,500,0
,500,0
,500,0
,500,0
,426.3333333,104.1803991
,410.3333333,126.8078161
,500,0
,500,0
,500,0
,462,53.74011537
,500,0
,500,0
,445,77.78174593
,500,0
,500,0
,500,0
,499.6666667,0.471404521
,500,0
,435,91.92388155
,421.3333333,111.2514669
,371.3333333,121.1619669
,365.6666667,137.9379893
,384.6666667,163.1059642
,391,154.1492783
,391,154.1492783
,407.3333333,131.0504568
,500,0
,500,0
,467.6666667,45.72623852
,400.3333333,140.9499517
,398.6666667,143.3069743
,407.6666667,130.5790523
,500,0
,500,0
,407.3333333,131.0504568
,422.3333333,109.8372533
,470,42.42640687
,431.3333333,97.10933128
,500,0
,388.3333333,157.9205145
,391.6666667,153.2064693
,406.6666667,131.9932658
,485,21.21320344
,469.6666667,42.89781139
,500,0
,500,0
,337.3333333,230.0454061
,500,0
,500,0
,500,0
,500,0
,500,0
,500,0
,500,0
,500,0
,410,127.2792206
,401.6666667,139.0643336
,415.3333333,119.7367483
,466.3333333,47.6118566
,500,0
,491.6666667,11.78511302
,500,0
,426.3333333,104.1803991
,336.3333333,231.4596197
,336.3333333,231.4596197
