Rollouts,Average Reward,Standard Deviation
0,-31.1559531,2.343509059
1,-30.55352722,0.701328714
2,-29.42041001,0.792573976
3,-29.43611636,0.603322913
4,-29.98970651,0.589603633
5,-29.71336902,0.558681851
6,-30.80734216,0.741293095
7,-29.32953319,1.114651115
8,-29.65134507,0.379832312
9,-30.15030313,0.707406006
10,-30.57478098,0.581130184
11,-29.66004575,0.768202694
12,-29.9901044,1.340570642
13,-29.4045679,0.884829973
14,-29.79752684,0.921173308
15,-30.83660157,0.262372414
16,-30.67391958,0.313775362
17,-30.21954646,1.212529066
18,-30.09988445,0.990922177
19,-30.67463138,1.130059086
20,-29.25169728,0.504075466
21,-30.3454905,0.789439123
22,-30.1102006,0.228280579
23,-29.93446235,1.554605086
24,-30.18587971,0.449339014
25,-29.53151371,0.652461795
26,-29.23291417,0.402234072
27,-29.28321197,1.826816334
28,-29.74662201,0.585222282
29,-29.66443241,1.540786874
30,-30.89839555,1.127082794
31,-29.50833241,0.331455482
32,-30.49533556,0.674625449
33,-30.78473753,0.845742417
34,-30.61099147,0.859887896
35,-30.28005822,0.744547599
36,-30.60482012,0.371552896
37,-31.12132354,0.87531901
38,-29.77182058,0.667770488
39,-29.53075994,0.478957988
40,-29.67651453,0.321955983
41,-29.65881729,0.357986488
42,-30.75271685,0.344148526
43,-30.48572295,1.040145515
44,-30.20888395,0.299249949
45,-29.26020413,0.736090351
46,-29.82025797,0.277691528
47,-29.89276037,1.012366517
48,-30.257614,0.378734704
49,-29.99818025,0.751020104
50,-29.42013555,0.422327156
51,-30.51538347,0.859721772
52,-29.52014183,0.230031593
53,-29.67072426,0.307860798
54,-30.14273732,1.094057354
55,-30.41021601,0.507728303
56,-30.62824561,0.824948383
57,-30.5199073,0.874303371
58,-30.21487637,0.206485502
59,-30.37324984,1.159933742
60,-29.38000179,0.325134457
61,-30.68200196,1.108943379
62,-30.43748958,0.696067531
63,-29.97990815,0.5921747
64,-29.69418544,0.489385973
65,-30.74071391,1.200032565
66,-31.02076034,0.275572963
67,-29.60148613,0.361177878
68,-29.80421775,0.060648627
69,-29.93160692,0.174215551
70,-29.95870574,0.537325059
71,-29.29944516,0.112654399
72,-29.36296093,0.657760494
73,-30.27150434,0.402634179
74,-29.55915464,0.482059819
75,-29.48569664,0.514260578
76,-29.95844258,1.298035661
77,-29.08984877,0.557107774
78,-30.31580083,0.86797739
79,-30.57706558,0.247127688
80,-29.97759873,0.337246206
81,-29.67921666,0.511308771
82,-30.11950052,0.220186565
83,-30.11290516,1.385881565
84,-29.09020892,0.694483207
85,-29.56168764,0.154768789
86,-30.61043358,0.419867105
87,-29.47700992,0.664156627
88,-29.83736727,0.71628727
89,-31.28623904,0.752399118
90,-29.68151881,0.6774258
91,-29.11879094,1.405680497
92,-31.36485786,1.173441609
93,-30.05998767,0.473037341
94,-30.02873311,0.191830794
95,-29.4658004,1.132663989
96,-30.14915438,0.218316937
97,-29.67609614,0.565731692
98,-30.3384144,0.870091586
99,-29.73425117,0.707970567
100,-28.87217694,0.073778138
101,-30.51546392,0.153858263
102,-29.66883498,0.158364388
103,-29.04798191,1.136569552
104,-30.20396327,0.645358268
105,-30.17129078,0.591976343
106,-30.09072045,0.216536949
107,-29.80577052,0.357689498
108,-30.26308272,0.810171232
109,-30.1005274,1.130757774
110,-29.30638128,1.349570814
111,-30.49960561,0.779610035
112,-31.30191822,0.652832167
113,-30.20855421,0.372959505
114,-30.17650971,0.236046207
115,-29.99446597,0.306083214
116,-30.5695815,0.570819834
117,-30.78402036,0.446777437
118,-31.04151331,1.116450437
119,-30.37861394,0.89926451
120,-29.87796912,0.983774593
121,-30.13317174,1.539797444
122,-29.19713108,0.803806037
123,-29.41752158,0.905836442
124,-29.49098548,0.46964995
125,-30.12363116,1.191845379
126,-30.45610266,0.321521242
127,-30.00947719,0.921298353
128,-30.38540588,0.88415855
129,-29.6656563,1.328973317
130,-29.83524319,1.00371976
131,-30.23992392,0.524011958
132,-29.85141442,0.767216426
133,-30.15717491,1.306145278
134,-29.85463977,0.568810394
135,-29.42596979,0.672837245
136,-30.05835042,0.181443439
137,-30.96297899,0.514148593
138,-30.01573181,0.349216651
139,-29.77421188,0.935764102
140,-30.87772007,0.875290875
141,-30.52517369,0.815523155
142,-31.29154009,0.90685802
143,-29.45602087,0.880631377
144,-29.39989388,0.921464689
145,-29.84050163,0.624457599
146,-30.39992841,0.388250824
147,-28.94462143,0.983571737
148,-30.05752188,0.26593733
149,-30.51638244,0.350167422
150,-29.75777433,0.624869645
151,-29.98876123,0.425853488
152,-29.49007278,1.284948576
153,-30.49899502,0.747289206
154,-30.23505065,0.603326575
155,-31.18802683,0.176801388
156,-29.58748667,0.364167578
157,-29.55984586,0.33412905
158,-30.62105587,0.152218957
159,-30.187715,0.852968648
160,-29.70403327,0.145252327
161,-29.38238887,0.396955892
162,-30.03624219,0.727452277
163,-29.95524321,0.954703314
164,-29.65971884,0.732606554
165,-29.3309807,0.59142655
166,-30.0909515,0.496907546
167,-29.89620916,0.114404506
168,-29.90288696,1.445816984
169,-30.05984273,0.644747395
170,-30.34551379,0.381579172
171,-30.08109995,0.748403521
172,-29.61673669,0.308922604
173,-30.40514375,2.091163589
174,-30.19978698,0.836374032
175,-30.77075474,1.305614931
176,-30.0484383,1.296130205
177,-30.84710951,0.440803026
178,-29.0659909,0.115156854
179,-30.01020413,0.974840895
180,-30.76620479,0.824595471
181,-30.62008943,0.417903266
182,-29.81314782,1.181740973
183,-29.51469389,0.983461729
184,-29.32083517,0.304169452
185,-29.23927082,1.082353116
186,-30.46030321,0.666215602
187,-30.71056854,0.327992086
188,-29.97700788,0.360100832
189,-29.54274354,0.446260437
190,-29.79869942,0.708280505
191,-30.13778192,0.985968082
192,-29.30289783,0.218415279
193,-30.3437821,1.444974205
194,-29.77762868,0.932989945
195,-30.64519904,0.672115328
196,-29.91670162,0.890923122
197,-29.69288189,1.039541314
198,-29.68925471,0.827169886
199,-29.854514,0.860542007
200,-30.33450565,1.556766214
201,-30.63595005,0.902419425
202,-30.9136542,0.496810156
203,-30.55038762,1.010854488
204,-31.41542847,0.711202992
205,-30.33570994,1.176285009
206,-30.355517,0.396775366
207,-29.38214554,0.45970467
208,-29.98020005,0.506613341
209,-30.01954732,0.632972115
210,-30.67574162,0.983096978
211,-30.85021288,0.731841167
212,-29.98407659,1.574141643
213,-30.30802845,0.501653152
214,-29.56741696,0.956747833
215,-31.22749562,0.265231147
216,-30.50295818,0.790492707
217,-30.58627017,1.309107617
218,-30.43736201,0.637232627
219,-30.72925955,1.057186975
220,-30.0668611,0.522200321
221,-30.17254632,0.73467354
222,-31.13503163,1.253760552
223,-30.57797808,0.948043438
224,-30.20740365,0.254270844
225,-29.75058337,0.486028471
226,-30.59179321,0.458014229
227,-29.53142884,0.764343413
228,-30.68003726,0.463370798
229,-29.78718628,0.424550622
230,-30.36759618,0.688777665
231,-30.15649318,0.884521154
232,-29.88058945,0.375914476
233,-29.13829654,0.276577273
234,-29.75106326,0.304945291
235,-30.38567313,0.882669225
236,-30.17116819,0.573765285
237,-30.0653414,0.291144705
238,-29.71628902,1.015197695
239,-29.84107943,0.076502605
240,-30.844514,0.658129575
241,-30.3239633,0.752827283
242,-30.06680229,0.58682413
243,-30.01016679,0.881087993
244,-30.84477217,0.422071678
245,-30.65593259,1.742617338
246,-29.7326733,1.401713081
247,-30.39284711,1.065102315
248,-29.76184633,1.023908239
249,-31.19288505,0.883806733
250,-30.1906742,0.808966419
251,-30.00368245,1.588533817
252,-29.98020465,0.710357727
253,-29.67881917,0.667407
254,-29.88795658,0.438675469
255,-30.16366665,0.941586859
256,-30.36300718,0.446081496
257,-30.18984724,0.57306841
258,-30.69166774,0.297541589
259,-30.22511641,0.996669481
260,-31.11163605,0.669087848
261,-30.43606801,0.700192853
262,-29.57491382,0.811544814
263,-29.52061695,0.219521294
264,-29.57264891,0.580992662
265,-30.61678932,0.671996205
266,-30.26824052,1.018292485
267,-30.11750476,1.056535809
268,-30.15853944,0.196753084
269,-30.94018289,0.245370124
270,-29.9290436,0.70151728
271,-29.89864203,1.426811605
272,-30.34379385,0.338055201
273,-28.93382512,0.79374157
274,-29.66226241,0.729699989
275,-28.89027596,0.424905951
276,-30.2031194,1.164515902
277,-30.40241621,0.90360255
278,-29.91998156,0.37145419
279,-30.17697967,0.457302772
280,-30.13674523,0.437688539
281,-29.96760374,0.376676673
282,-28.79451491,0.951305896
283,-30.56674863,0.877763566
284,-30.16628248,0.605284512
285,-31.02509447,0.611057599
286,-30.2340087,0.545721234
287,-29.95879638,0.502405252
288,-30.58170829,0.680667932
289,-30.33923279,0.554580123
290,-30.60924405,0.517773036
291,-29.88454168,0.277631684
292,-31.15732012,1.382156777
293,-31.15660662,0.914630863
294,-30.32665312,0.272257558
295,-30.15989848,1.34598673
296,-30.11540771,0.68385189
297,-29.36115825,0.09608132
298,-30.66791765,0.877696347
299,-30.30799596,0.925090485
