Rollouts,Average Reward,Standard Deviation
1,-1467.910567,107.9788143
2,-1682.717163,16.974049
3,-1599.912386,38.86134065
4,-1209.37862,105.557192
5,-1220.650638,55.51141266
6,-966.9389576,210.4123187
7,-1085.517788,109.705452
8,-1004.237179,100.1613818
9,-947.5222483,281.0179891
10,-925.0250168,113.9531187
11,-929.1039177,329.9060736
12,-741.5450415,267.1112825
13,-603.9080392,294.3293941
14,-690.4688907,303.1872343
15,-722.6333529,376.4534586
16,-733.4934845,385.734984
17,-500.3977322,262.4396649
18,-1208.761375,601.8018134
19,-803.3849559,394.8172651
20,-573.2571971,276.9712134
21,-983.6066666,498.4323564
22,-371.0618436,261.965241
23,-388.5700883,276.4704329
24,-372.2599949,287.0073794
25,-311.5330845,419.0020485
26,-543.50026,311.701685
27,-263.2129099,360.7954456
28,-412.2402773,404.1891655
29,-540.767607,341.8576194
30,-354.2337271,315.3981675
31,-450.9715114,383.3515329
32,-990.7295315,536.8609279
33,-433.8781739,351.3745503
34,-461.7636395,387.1159177
35,-129.7251396,5.527726097
36,-136.2365175,5.753273937
37,-684.7352586,346.9260393
38,-382.1731358,121.6197892
39,-171.1473957,64.94386727
40,-132.1592347,5.761061369
41,-129.0151238,7.880548842
42,-132.8521189,5.369264723
43,-813.3336176,520.1238146
44,-8.635036679,5.316500346
45,-170.8540598,64.45382255
46,-124.4027161,5.486578518
47,-168.0356089,65.61480265
48,-262.3342247,13.50817647
49,-125.8918276,5.084592192
50,-6.257075914,3.382263782
51,-238.4247201,5.664152272
52,-4.767536625,4.070565341
53,-9.093002202,1.876773528
54,-126.2644879,3.36615903
55,-124.0990579,5.419177482
56,-5.582213825,3.860380383
57,-244.3229496,4.76224217
58,-312.5428993,51.99355593
59,-7.214968766,2.219536431
60,-318.5906336,57.32840287
61,-243.4228765,6.561387625
62,-125.9954717,5.803221318
63,-122.7975637,6.463750849
64,-310.0285608,55.45934063
65,-131.5639231,5.335275265
66,-351.55951,13.85262356
67,-313.4595392,54.82717356
68,-236.4108483,9.058935251
69,-132.5257468,5.625054248
70,-128.0407224,6.365235253
71,-127.8969028,6.531317894
72,-262.1416022,9.141556137
73,-127.932991,6.923521268
74,-130.398819,3.359462347
75,-6.085076842,2.937308854
76,-129.2585337,5.490442505
77,-124.030278,3.211386894
78,-234.621519,5.837642334
79,-126.769458,5.563717161
80,-127.1988923,5.9795619
81,-255.5124306,10.4777855
82,-124.2191016,1.72127867
83,-125.2087966,2.838104287
84,-362.2825286,13.25804167
85,-127.7533764,3.769931314
86,-313.4751228,53.92716624
87,-123.3298228,3.625066671
88,-235.536248,4.48847515
89,-5.855749594,2.384450154
90,-130.7194202,4.974817259
91,-312.9339209,46.18001191
92,-5.027616026,1.924829751
93,-351.2335118,16.31465446
94,-124.4254373,1.699760394
95,-5.036483915,1.825022324
96,-124.5575628,1.913479027
97,-5.820472642,2.09677084
98,-267.2766508,47.80494067
99,-120.794003,2.04257788
100,-5.417573565,4.080130989
101,-343.7561307,5.489022516
102,-126.3117444,2.870060902
103,-6.466980692,2.432821499
104,-6.492301106,4.509175448
105,-248.7607256,6.686646945
106,-6.412128852,4.203128742
107,-131.6425297,2.2706586
108,-125.5626914,5.672380307
109,-242.1094688,0.957690753
110,-130.9833833,3.245730357
111,-122.6225341,3.150802611
112,-120.2415127,2.583958052
113,-235.7329798,4.723748831
114,-6.677887105,4.098191386
115,-6.835195206,3.72086132
116,-125.8824678,2.635158492
117,-128.915861,2.050148273
118,-280.2461111,49.63958823
119,-126.0187746,3.153432086
120,-309.3567728,45.13768231
121,-271.2084136,15.5708495
122,-130.2258649,2.552444697
123,-131.6718826,3.130916694
124,-230.7640784,2.578573266
125,-234.7783297,6.133686746
126,-126.5039845,2.87126968
127,-131.1454492,3.300377343
128,-276.9156726,52.34935936
129,-124.6013715,2.710836712
130,-125.1722003,2.295123344
131,-234.3077989,6.096001304
132,-123.0038903,2.251908636
133,-257.1705134,18.24683865
134,-343.5682351,12.37414937
135,-263.0467677,43.73283486
136,-126.0176472,0.357132756
137,-125.9765443,0.564729974
138,-132.9294968,2.92640574
139,-318.0796842,9.388084084
140,-126.5491221,3.380710641
141,-244.798047,4.392186523
142,-5.861087972,1.407048164
143,-121.7560868,0.988926071
144,-125.499762,4.150981477
145,-5.354311622,2.941991096
146,-124.2343715,2.230529254
147,-332.4433328,9.960753529
148,-128.1645644,2.163128874
149,-5.696066949,1.758458919
150,-130.8198164,0.618066079
151,-130.2197478,3.647189917
152,-130.2750447,1.276023034
153,-328.0954837,5.397466553
154,-126.8780679,2.881255304
155,-126.0414729,4.424246678
156,-233.5751968,4.606974448
157,-129.8513549,2.11743387
158,-129.0185873,2.475493939
159,-126.7886102,4.285628498
160,-231.7928221,6.137342351
161,-124.2563061,2.842689529
162,-125.3636686,3.06210209
163,-244.3990007,4.689343345
164,-170.4754603,55.58610974
165,-128.2142056,3.186432477
166,-120.4084737,2.244642919
167,-357.6223645,9.94895379
168,-249.5794124,4.602174189
169,-331.8876751,5.46278728
170,-130.0331486,4.568041039
171,-122.5930993,0.882416586
172,-290.223836,48.28896444
173,-125.8570684,0.297884847
174,-127.1833882,1.40895538
175,-126.9446709,1.858624183
176,-237.3321225,5.297242296
177,-227.8715371,1.747849411
178,-128.6393191,3.614462396
179,-242.934913,8.353343529
180,-5.132426918,1.142861941
181,-236.778212,4.234261502
182,-255.5544683,6.093232557
183,-127.6606773,2.4057558
184,-3.230594376,0.914256816
185,-128.2183981,1.352342816
186,-130.0490639,2.883068703
187,-122.2492626,2.15096297
188,-123.4801309,0.807644436
189,-119.1105062,0.859606613
190,-126.5395229,1.477232743
191,-125.0238748,2.348750549
192,-267.4501391,21.61287072
193,-118.838266,1.52265574
194,-128.3852735,0.320032903
195,-252.4960852,7.440826863
196,-3.647009569,1.29661846
197,-118.3539811,0.589368049
198,-123.4097002,1.106616826
199,-5.14376889,0.992751864
200,-127.0990141,0.907687183
201,-128.1895108,1.281489587
202,-232.6447048,2.002266161
203,-124.0102426,3.449590003
204,-129.3550997,2.197538625
205,-228.8893142,1.607007322
206,-127.9623166,1.990023403
207,-123.9609625,2.046547534
208,-235.4660117,1.229098692
209,-127.8791232,1.589701392
210,-128.0871799,1.95050145
211,-126.1033632,4.653609932
212,-240.4926444,3.7204931
213,-6.859025504,1.522605092
214,-122.0510686,2.50699017
215,-124.5085716,1.272503504
216,-122.0943534,0.904595635
217,-126.0800838,1.827435976
218,-254.3710434,11.0429284
219,-246.0832855,3.280983473
