Rollouts,Average Reward,Standard Deviation
0,25.333333333333332,8.956685895029603
1,16.0,4.320493798938574
2,18.666666666666668,3.858612300930075
3,21.333333333333332,7.71722460186015
4,17.333333333333332,6.182412330330469
5,30.0,8.04155872120988
6,21.0,5.656854249492381
7,27.666666666666668,14.007934259633798
8,26.333333333333332,11.440668201153676
9,29.333333333333332,5.312459150169742
10,17.333333333333332,6.847546194724712
11,33.0,22.627416997969522
12,13.666666666666666,2.357022603955158
13,46.666666666666664,16.779617264870957
14,29.0,24.779023386727733
15,23.0,6.531972647421808
16,29.333333333333332,9.46337971105226
17,20.666666666666668,4.0276819911981905
18,23.0,9.273618495495704
19,46.666666666666664,29.48822740612863
20,18.333333333333332,5.312459150169742
21,21.666666666666668,5.90668171555645
22,56.666666666666664,28.569603116288164
23,58.333333333333336,16.858891488535722
24,25.333333333333332,8.178562764256865
25,25.666666666666668,8.73053390247253
26,50.666666666666664,30.07028803025043
27,55.0,19.200694431886227
28,39.333333333333336,11.55662388223981
29,95.33333333333333,60.7965642304088
30,60.666666666666664,44.4996878890428
31,78.0,63.63961030678928
32,124.0,90.29950165975447
33,101.0,81.78426906604146
34,52.0,4.242640687119285
35,63.666666666666664,55.643707840349954
36,55.333333333333336,27.475241379993168
37,69.0,27.09243436828813
38,52.333333333333336,26.398653164297773
39,89.33333333333333,81.67142843260562
40,113.33333333333333,84.4209031513457
41,151.33333333333334,82.13944782434861
42,127.33333333333333,58.93122168162551
43,56.333333333333336,5.792715732327589
44,80.66666666666667,14.38363267359428
45,88.66666666666667,44.79087208597553
46,108.33333333333333,22.395436042987768
47,118.66666666666667,61.9157133170212
48,133.33333333333334,85.7139947085007
49,129.0,41.737273509418415
50,138.0,74.87322618933953
51,108.66666666666667,57.18585683735291
52,106.66666666666667,44.61937795273359
53,146.66666666666666,61.62971866090436
54,209.0,20.92844953645635
55,155.66666666666666,94.12875342966261
56,125.0,57.78119648005453
57,232.33333333333334,132.03366574055605
58,260.3333333333333,180.33364140454276
59,231.66666666666666,190.0602243734572
60,298.0,143.29224217195664
61,179.33333333333334,121.67260259492366
62,253.66666666666666,174.19593055586063
63,251.33333333333334,177.5318437789558
64,253.66666666666666,119.76180062477722
65,260.6666666666667,178.62499514034673
66,300.0,158.25928092848142
67,259.3333333333333,170.22599357586046
68,339.6666666666667,134.88348881740697
69,375.3333333333333,106.41219646053527
70,370.3333333333333,183.37635858771134
71,319.0,128.69343417595164
72,368.6666666666667,185.73338119166647
73,328.6666666666667,134.3064489226866
74,345.3333333333333,128.2324278626727
75,421.6666666666667,110.78006238589244
76,396.0,147.07821048680188
77,379.6666666666667,170.17703200556244
78,422.3333333333333,109.83725334431037
79,415.6666666666667,119.26534376013103
80,458.3333333333333,58.92556509887896
81,500.0,0.0
82,385.3333333333333,162.1631551521149
83,375.3333333333333,176.30529077584586
84,369.0,185.26197667087544
85,362.3333333333333,194.6900670866961
86,372.0,181.01933598375618
87,383.0,165.46298679765212
88,420.0,113.13708498984761
89,500.0,0.0
90,500.0,0.0
91,500.0,0.0
92,500.0,0.0
93,407.3333333333333,131.0504567799068
94,428.3333333333333,101.3519719700718
95,500.0,0.0
96,500.0,0.0
97,500.0,0.0
98,500.0,0.0
99,500.0,0.0
